-.6885890057,-.0785246781,.1063634927,.2700675927,-.0000000000,-.0000000000,-.3224743287,.0000000000,-.0000000000,.4026170284,-1.3981409415,1.5080818822,-.0000000000,.0000000000,.6834926092,.0000000000,.0000000000,-4.4792210436
.1769868781,2.5036816909,.3012517410,11.0328244565,-.0000000000,.0000000000,.9923968661,.0000000000,.0000000000,-31.5543774473,1.3757812931,20.6462479776,.0000000000,.0000000000,-.7257699658,-.0000000000,-.0000000000,9.4777582322
-.0068034554,-4.5295942794,-.6904004186,-3.2961984312,-.0000000000,-.0000000000,-.3766214663,.0000000000,-.0000000000,2.4379105093,-.2076885436,-.5279407336,-.0000000000,.0000000000,.1315676566,.0000000000,.0000000000,-.4246373877
.0221715998,.0003074470,-.0130145855,.0475576181,-.0000000000,.0000000000,-.0175284565,.0000000000,.0000000000,-.0750853232,.0140041895,.5300723293,.0000000000,.0000000000,.7632681419,-.0000000000,-.0000000000,2.1446375700
.0000000000,-.0000000000,.0000000000,-.0000000000,-.0119312305,-.0001749208,.0000000000,-.0214708374,-.0417430745,-.0000000000,-.0000000000,.0000000000,-.6694639920,-.0129574950,-.0000000000,.1522558943,-1.0573777381,.0000000000
.0000000000,-.0000000000,.0000000000,-.0000000000,.0001749208,-.0119312305,.0000000000,.0417430745,-.0214708374,-.0000000000,-.0000000000,.0000000000,.0129574950,-.6694639920,-.0000000000,1.0573777381,.1522558943,.0000000000
.0026590575,-.5918176510,.0689236259,-2.2987903727,.0000000000,.0000000000,1.2893166456,-.0000000000,.0000000000,8.0968787329,-.9044837124,-6.1337803359,.0000000000,-.0000000000,-.4319589746,-.0000000000,-.0000000000,-1.9517124801
.0000000000,.0000000000,-.0000000000,.0000000000,.5221656982,.0076553422,-.0000000000,.9154995528,1.7798917382,.0000000000,.0000000000,-.0000000000,.2907442515,.0056273634,-.0000000000,-.1016321442,.7058089099,-.0000000000
.0000000000,-.0000000000,-.0000000000,-.0000000000,-.0076553422,.5221656982,-.0000000000,-1.7798917382,.9154995528,-.0000000000,.0000000000,.0000000000,-.0056273634,.2907442515,.0000000000,-.7058089099,-.1016321442,-.0000000000
-.6885890057,.0785246781,.1063634927,-.2700675927,-.0000000000,.0000000000,-.3224743287,-.0000000000,.0000000000,-.4026170284,-1.3981409415,-1.5080818822,.0000000000,.0000000000,.6834926092,-.0000000000,-.0000000000,4.4792210436
.1769868781,-2.5036816909,.3012517410,-11.0328244565,.0000000000,-.0000000000,.9923968661,-.0000000000,-.0000000000,31.5543774473,1.3757812931,-20.6462479776,-.0000000000,-.0000000000,-.7257699658,.0000000000,.0000000000,-9.4777582322
-.0068034554,4.5295942794,-.6904004186,3.2961984312,.0000000000,-.0000000000,-.3766214663,-.0000000000,-.0000000000,-2.4379105093,-.2076885436,.5279407336,-.0000000000,-.0000000000,.1315676566,.0000000000,.0000000000,.4246373877
-.0221715998,.0003074470,.0130145855,.0475576181,.0000000000,.0000000000,.0175284565,-.0000000000,.0000000000,-.0750853232,-.0140041895,.5300723293,.0000000000,-.0000000000,-.7632681419,-.0000000000,-.0000000000,2.1446375700
.0000000000,-.0000000000,.0000000000,.0000000000,-.0119312305,-.0001749208,.0000000000,.0214708374,.0417430745,.0000000000,-.0000000000,-.0000000000,-.6694639920,-.0129574950,-.0000000000,-.1522558943,1.0573777381,.0000000000
.0000000000,.0000000000,-.0000000000,.0000000000,.0001749208,-.0119312305,-.0000000000,-.0417430745,.0214708374,.0000000000,.0000000000,.0000000000,.0129574950,-.6694639920,.0000000000,-1.0573777381,-.1522558943,-.0000000000
-.0026590575,-.5918176510,-.0689236259,-2.2987903727,.0000000000,-.0000000000,-1.2893166456,-.0000000000,-.0000000000,8.0968787329,.9044837124,-6.1337803359,-.0000000000,-.0000000000,.4319589746,.0000000000,.0000000000,-1.9517124801
.0000000000,-.0000000000,.0000000000,-.0000000000,.5221656982,.0076553422,.0000000000,-.9154995528,-1.7798917382,-.0000000000,.0000000000,.0000000000,.2907442515,.0056273634,.0000000000,.1016321442,-.7058089099,.0000000000
.0000000000,.0000000000,-.0000000000,.0000000000,-.0076553422,.5221656982,-.0000000000,1.7798917382,-.9154995528,.0000000000,-.0000000000,-.0000000000,-.0056273634,.2907442515,-.0000000000,.7058089099,.1016321442,-.0000000000
